Title,Rating,Review_counts,City,Province,Reviews
Vacation/Cottage Rental,5,85,Niagara Falls, Ontario, mention of vacation rentals This rental felt more like a well-appointed apartment than a vacation
Mistiso's Place Vacation Rentals- Purcell Suite,4.5,100,Nelson, British Columbia, mentions of vacation rentals I can't say enough about this beautiful and charming vacation rental
Toronto 4 Bedroom House Spacious Clean Beautiful Private Convenient Location,5,36,Toronto, Ontario, mention of vacation rentals back yard! Would recommend the rental for a visit!
Our Sweet Escape,5,34,Qualicum Beach, British Columbia, mentions of vacation rentals enjoyable. I have never stayed in a vacation rental that exhibited this much
Walk to ocean from Lyons Cottage Rentals in PEI,4.5,48,Stanhope, Prince Edward Island, mentions of vacation rentals quiet morning as we woke up - perfect vacation spot!
Best views in Nelson,5,33,Nelson, British Columbia, mentions of vacation rentals to buy even the coffee filters! Maybe they should give vacation
"Shale Beach House, Blue Mountain Collingwood Ont.",5,77,Blue Mountains, Ontario, mention of vacation rentals vacation spot! There are three levels and so each family got their very own
Paradise Vacation Rentals,5,25,North Bay, Ontario,This has to be one of the best vacation places I stayed. This place
Downtown Toronto 4BR Townhouse,5,55,Toronto, Ontario, mentions of vacation rentals paint but you could forgive this slightly as it was a holiday rental.
Les Rives du Sanctuaire,5,53,Mont Tremblant, Quebec, mentions of vacation rentals spend majestic vacation . His place is large enough for  people
"Inn Of The Sea Resort-Newly renovated, Oceanview & Includes the use of two kayak",5,45,Ladysmith, British Columbia, mentions of vacation rentals This is one of the best private vacation rentals I have found. It
Enormous Riverfront 2 Bedroom Condo in the Heart of Old Quebec City,5,87,Quebec City, Quebec," mentions of vacation rentals Dalhousie, I cannot recall a vacation rental we have enjoyed more. The"
Downtown Apartment in Historic Cabbagetown,5,39,Toronto, Ontario, mentions of vacation rentals Tony and Steve's Aberdeen rental was the perfect landing spot for our
"Air-con 3 BR view suite for 6, w/ 50' 4K Smart TV",5,50,Nanaimo, British Columbia," mentions of vacation rentals the windows because the entire house (bottom rental, middle rental"
Downtown Toronto Furnished VACATION Rental,4.5,26,Toronto, Ontario, mention of vacation rentals rental! The location was an excellent and secure treasure. Located in
By the Vines 3 Bedroom 2 Bath Wine Country Getaway,5,189,Niagara-on-the-Lake, Ontario, mentions of vacation rentals recommend this house to everyone who wants a relaxing vacation.
SURFS UP OCEANFRONT,5,33,Liverpool, Nova Scotia," mention of vacation rentals like a real home more than a rental. Peaceful area, beautiful views"
Tigh-na Clayoquot Vacation House Tofino BC,5,30,Tofino, British Columbia," mention of vacation rentals order. It was a perfect home for us to vacation in, very private and"
Howe Bay Beach House - PEI Oceanfront Vacation Rental,5,16,Souris, Prince Edward Island," mention of vacation rentals rental enough. Whether a celebration with a group, a family vacation, or"
Beach House on Square Bay,5,26,Spring Bay, Ontario, mention of vacation rentals Honestly the nicest vacation rental you could hope for! No expense
Lazy Dayz. Only 2 minutes from Picton Main Street,5,20,Picton, Ontario, mentions of vacation rentals very hospitable! The rental itself was a beautifully decorated space
Burgess Lookout Guest Cabin,5,85,Field, British Columbia, mentions of vacation rentals This is what other vacation rentals should aspire to! We had such a
"Simcoe Pines, 4 Bdrm Luxury home with heated pool",5,39,Niagara-on-the-Lake, Ontario, mentions of vacation rentals Simcoe Pines provided the perfect place for our family to vacation
SHORE LARK BY THE SEA 1 BEDROOM VACATION RENTALS JUST 15 MINUTES FR ST. JOHN'S!,5,76,Petty Harbour, Newfoundland and Labrador, mention of vacation rentals Beautiful updated rental in perfect condition with all amenities. Lovely
